"journal-article-10.2307_41444640-ngram1.txt","YIDDISH: THE PERILS AND JOYS OF TRANSLATION"
"journal-article-10.2307_42751085-ngram1.txt","EXPERIENCE AND EPISTEMOLOGY: THE LIFE AND LEGACY OF MARCUS M. JASTROW (1829-1903)"
"journal-article-10.2307_41443752-ngram1.txt","MOKUM IS HOME: AMSTERDAM'S JEWISH HISTORICAL MUSEUM"
"journal-article-10.2307_41443783-ngram1.txt","FRIEDRICH-WILHELM MARQUARDT - A THEOLOGICAL-BIOGRAPHICAL SKETCH"
"journal-article-10.2307_43740696-ngram1.txt","A SECTARIAN RITE GONE MAINSTREAM AND CUTTING-EDGE: THE BLOSSOMING OF \"FORMS OF PRAYER FOR JEWISH WORSHIP VOLUME I\""
"journal-article-10.2307_41443873-ngram1.txt","DR ERNST LEITZ II OF WETZLAR AND THE PEOPLE HE HELPED DURING THE SHOAH: RESEARCH IN PROGRESS"
"journal-article-10.2307_41444037-ngram1.txt","LIEBERMAN"
"journal-article-10.2307_41443008-ngram1.txt","The Task Before Us: Contemporary Jewish Religious Thought and the Challenge of Solidarity"
"journal-article-10.2307_42751061-ngram1.txt","YITZHAK-RABIN-SCHULE: THE RE-ESTABLISHMENT OF A JEWISH SCHOOL IN DÜSSELDORF"
"journal-article-10.2307_42751139-ngram1.txt","THE MISSING TEMPLE: THE STATUS OF THE TEMPLE IN JEWISH CULTURE FOLLOWING ITS DESTRUCTION"
"journal-article-10.2307_43744076-ngram1.txt","Progressive Judaism and Established Orthodoxy: The Realities and Challenges of Co-existence"
"journal-article-10.2307_41444218-ngram1.txt","The Rome Colloquium"
"journal-article-10.2307_41443904-ngram1.txt","THE YUGOSLAV EXPERIMENT IN SECULAR JEWISHNESS"
"journal-article-10.2307_42751086-ngram1.txt","A GERMAN RABBI AND SCHOLAR IN AMERICA: KAUFMANN KOHLER AND THE SHAPING OF AMERICAN JEWISH THEOLOGICAL AND INTELLECTUAL AGENDAS"
"journal-article-10.2307_41431157-ngram1.txt","A CASE STUDY IN ASSIMILATION AND IDENTITY: Osip Mandelstam"
"journal-article-10.2307_41443756-ngram1.txt","JEWISH COMMUNITY AND IDENTITY IN POSTCOMMUNIST LATVIA"
"journal-article-10.2307_42751091-ngram1.txt","THE RETURN OF RABBI ROBERT RAPHAEL GEIS TO GERMANY: ONE OF THE LAST WITNESSES OF GERMAN JEWRY?"
"journal-article-10.2307_41431163-ngram1.txt","JEWISH PARTICIPATION IN THE POLISH STRUGGLE FOR INDEPENDENCE 1794–1918"
"journal-article-10.2307_41442991-ngram1.txt","The Binding of Isaac: A Psycho-Analytic Perspective"
"journal-article-10.2307_41443219-ngram1.txt","Utopia Deferred: Eduard Bernstein and the Messianic Idea"
"journal-article-10.2307_41444025-ngram1.txt","YIDDISH WITHOUT YIDDISH?"
"journal-article-10.2307_42751060-ngram1.txt","CHALLENGING THE STATUS QUO: THE STORY OF JCOSS — THE JEWISH COMMUNITY SECONDARY SCHOOL"
"journal-article-10.2307_41442487-ngram1.txt","Ferdinand Lassalle: the gladiator"
"journal-article-10.2307_41444008-ngram1.txt","IS EUROPE GOOD FOR THE JEWS? JEWS AND THE PLURALIST TRADITION IN HISTORICAL PERSPECTIVE"
"journal-article-10.2307_41443413-ngram1.txt","FELLOW HEIRS AND PARTAKERS OF THE PROMISE: An Alternative to Christian Substitutionist Theology and Christology"
"journal-article-10.2307_41443374-ngram1.txt","RESTORING THE ORDINARY"
"journal-article-10.2307_41443784-ngram1.txt","MUSLIM-CHRISTIAN DIALOGUE: SIGNS OF HOPE"
"journal-article-10.2307_42751093-ngram1.txt","MIRIAM'S CUP: THE STORY OF A NEW RITUAL"
"journal-article-10.2307_41442330-ngram1.txt","The Paris Colloquium"
"journal-article-10.2307_42751083-ngram1.txt","RABBI NATHAN ADLER AND THE FORMULATION OF THE CHIEF RABBINATE IN BRITAIN, 1845-1890"
"journal-article-10.2307_41442257-ngram1.txt","La Conscience Juive en France"
"journal-article-10.2307_41444586-ngram1.txt","LOVE IN ISLAM"
"journal-article-10.2307_42751063-ngram1.txt","IMPLICATIONS FOR JEWISH IDENTITY OF TEENAGERS ATTENDING AN INTEGRATED JEWISH STATE SCHOOL"
"journal-article-10.2307_41443422-ngram1.txt","ABRAHAM HESCHEL'S CONCEPT OF GOD"
"journal-article-10.2307_41443850-ngram1.txt","GOD!"
"journal-article-10.2307_41444588-ngram1.txt","WHY ARE THERE SO FEW JEWISH STATEMENTS ON CHRISTIANITY OR JEWISH-CHRISTIAN RELATIONS?"
